,Distrito,Cluster KM,Cluster HAC ,Cluster DB SP
176,CARMEN DEL PARANA,0,5,2
177,ISLA UMBU,0,5,2
178,JUAN DE MENA,0,5,0
179,PIRAPO,0,5,5
180,SAN PATRICIO,0,5,2
181,JESUS,0,5,3
182,VILLA OLIVA,0,5,2
183,CARMELO PERALTA,0,5,2
184,DESMOCHADOS,0,5,2
185,CORONEL MARTINEZ,0,5,3
186,SANTA ROSA DEL MONDAY,0,5,2
187,NUEVA ALBORADA,0,5,2
188,R I 3 CORRALES,0,5,2
