,METRICA,SIL - HAC,SIL - KM,SIL - DB,CHZ - HAC,CHZ - KM,CHZ - DB,DUNN - HAC,DUNN - KM,DUNN - DB,DAVID - HAC,DAVID - KM,DAVID - DB
0,Euclidean Distance,0.8361140143522076,0.8628078547600364,-0.026264897821826835,2746.38575133141,3258.434068273362,1.934576359180514,1.2760081492361373,1.4748718442380053,0.0008679904232698105,0.3955781019653088,0.33118983635025834,1.4582107752213849
1,Pearson Correlation,0.574309845236998,0.5773792263769265,0.5154571552573518,1272.0800024614343,1424.0869605082605,387.8621585510485,2.3428231417255954,2.3428231417255954,1.7103635228294738,0.5580527749865966,0.5548458275710092,1.0486484535775944
2,Spearman Correlation,0.5879077861432432,0.5926484477741927,0.5502744469415494,347.78458658025494,367.1545543795885,160.99373487494205,0.0,0.0,0.0,0.6639247239788174,0.6450024302038058,1.0968831274991628
3,Dynamic Time Warping,0.8295605086562611,0.8541352771984709,-0.16491480167660036,2706.3294196929855,3159.359566369369,2.360946409109939,1.2746605803446962,1.4858615784470208,0.0008659078620170005,0.39746500438993504,0.3394266950812846,1.506153870579714
