,Distrito,Cluster KM,Cluster HAC ,Cluster DB SP
174,MACIEL,0,4,2
175,SAN PATRICIO,0,4,4
176,LAURELES,0,4,-1
177,BUENA VISTA,0,4,0
178,LIMA,0,4,0
179,HUMAITA,0,4,2
180,GENERAL DELGADO,0,4,1
181,YATYTAY,0,4,2
182,SAN SALVADOR,0,4,0
183,ALTO VERA,0,4,2
184,AZOTEY,0,4,2
185,SAN RAFAEL DEL PARANA,0,4,2
186,CERRITO,0,4,1
187,GENERAL BRUGUEZ,0,0,1
188,YABEBYRY,0,4,2
189,ZANJA PYTA,0,4,0
190,VILLALBIN,0,4,2
191,BAHIA NEGRA,0,4,2
192,TEMBIAPORA,0,4,2
193,TAVAPY,0,4,1
194,LEANDRO OVIEDO,0,4,0
195,ISLA UMBU,0,4,2
196,VILLA OLIVA,0,4,2
197,CARMELO PERALTA,0,4,-1
198,DESMOCHADOS,0,4,4
199,R I 3 CORRALES,0,4,2
