,Distrito,Cluster KM,Cluster HAC ,Cluster DB SP
101,"ICA, PISCO, HUMAY",0,4,0
102,"ICA, PISCO, INDEPENDENCIA",0,4,1
103,"ICA, PISCO, PARACAS",0,4,0
104,"ICA, PISCO, PISCO",0,4,0
105,"ICA, PISCO, SAN ANDRES",0,4,0
106,"ICA, PISCO, SAN CLEMENTE",0,4,0
107,"ICA, PISCO, TUPAC AMARU INCA",0,4,0
108,"JUNIN, CHANCHAMAYO, CHANCHAMAYO",0,4,0
109,"JUNIN, CHANCHAMAYO, PERENE",0,4,0
110,"JUNIN, CHANCHAMAYO, PICHANAQUI",0,4,0
111,"JUNIN, CHANCHAMAYO, SAN RAMON",0,4,0
112,"JUNIN, SATIPO, COVIRIALI",0,4,0
113,"JUNIN, SATIPO, MAZAMARI",0,4,0
114,"JUNIN, SATIPO, PANGOA",0,4,0
115,"JUNIN, SATIPO, RIO NEGRO",0,4,0
116,"JUNIN, SATIPO, RIO TAMBO",0,4,-1
117,"JUNIN, SATIPO, SATIPO",0,4,0
118,"JUNIN, SATIPO, VIZCATAN DEL ENE",0,4,1
119,"LA LIBERTAD, ASCOPE, ASCOPE",0,4,0
120,"LA LIBERTAD, ASCOPE, CASA GRANDE",0,4,0
121,"LA LIBERTAD, ASCOPE, CHICAMA",0,4,0
122,"LA LIBERTAD, ASCOPE, CHOCOPE",0,4,0
123,"LA LIBERTAD, ASCOPE, PAIJAN",0,4,0
124,"LA LIBERTAD, ASCOPE, SANTIAGO DE CAO",0,4,1
125,"LA LIBERTAD, CHEPEN, CHEPEN",0,4,0
126,"LA LIBERTAD, CHEPEN, PACANGA",0,4,0
127,"LA LIBERTAD, CHEPEN, PUEBLO NUEVO",0,4,1
128,"LA LIBERTAD, GRAN CHIMU, CASCAS",0,4,0
129,"LA LIBERTAD, PACASMAYO, GUADALUPE",0,4,0
130,"LA LIBERTAD, PACASMAYO, JEQUETEPEQUE",0,4,0
131,"LA LIBERTAD, PACASMAYO, PACASMAYO",0,4,1
132,"LA LIBERTAD, PACASMAYO, SAN JOSE",0,4,1
133,"LA LIBERTAD, PACASMAYO, SAN PEDRO DE LLOC",0,4,1
134,"LA LIBERTAD, PATAZ, PATAZ",0,4,0
135,"LA LIBERTAD, TRUJILLO, EL PORVENIR",0,4,0
136,"LA LIBERTAD, TRUJILLO, FLORENCIA DE MORA",0,4,0
137,"LA LIBERTAD, TRUJILLO, HUANCHACO",0,4,0
138,"LA LIBERTAD, TRUJILLO, LA ESPERANZA",0,4,0
139,"LA LIBERTAD, TRUJILLO, LAREDO",0,4,0
140,"LA LIBERTAD, TRUJILLO, MOCHE",0,4,0
141,"LA LIBERTAD, TRUJILLO, SALAVERRY",0,4,0
142,"LA LIBERTAD, TRUJILLO, TRUJILLO",0,4,0
143,"LA LIBERTAD, TRUJILLO, VICTOR LARCO HERRERA",0,4,1
144,"LA LIBERTAD, VIRU, CHAO",0,4,0
145,"LA LIBERTAD, VIRU, GUADALUPITO",0,4,1
146,"LA LIBERTAD, VIRU, VIRU",0,4,0
147,"LAMBAYEQUE, CHICLAYO, CAYALTI",0,4,1
148,"LAMBAYEQUE, CHICLAYO, CHICLAYO",0,4,0
149,"LAMBAYEQUE, CHICLAYO, CHONGOYAPE",0,4,1
150,"LAMBAYEQUE, CHICLAYO, JOSE LEONARDO ORTIZ",0,4,0
151,"LAMBAYEQUE, CHICLAYO, LA VICTORIA",0,4,0
152,"LAMBAYEQUE, CHICLAYO, LAGUNAS",0,4,1
153,"LAMBAYEQUE, CHICLAYO, MONSEFU",0,4,-1
154,"LAMBAYEQUE, CHICLAYO, OYOTUN",0,4,1
155,"LAMBAYEQUE, CHICLAYO, PATAPO",0,4,0
156,"LAMBAYEQUE, CHICLAYO, PIMENTEL",0,4,0
157,"LAMBAYEQUE, CHICLAYO, POMALCA",0,4,1
