,METRICA,SIL - HAC,SIL - KM,SIL - DB,CHZ - HAC,CHZ - KM,CHZ - DB,DUNN - HAC,DUNN - KM,DUNN - DB,DAVID - HAC,DAVID - KM,DAVID - DB
0,Euclidean Distance,0.9701698996687617,0.9701698996687617,-0.073255777781844,416769.0259279734,416769.0259279733,0.29875668186725196,,,,0.25787659059617235,0.25787659059617285,1.8853705762576185
1,Pearson Correlation,0.7606420416528465,0.7452429967907236,0.6911485773914641,3655.501208511197,3875.1318513434217,982.0558871464141,1.3747482853703368,1.3747482853703368,0.8579214940656492,0.5135542964714743,0.5460872349870262,6.522911025751312
2,Spearman Correlation,0.3935743065887979,0.4029221336146749,0.44343876321844217,366.2054907737428,389.2116714333992,68.46964478292608,1.3389656190282266,1.4548006730517296,0.855919498013691,0.8742510410304454,0.9934270840486351,1.5126573783183164
3,Dynamic Time Warping,0.9701549796282972,0.9701549796282972,0.19305481634460733,416947.20431773656,416947.2043177365,0.3545856553294596,,,,0.2578349692314093,0.25783496923140986,1.8535272571330366
