anio;semana;distrito_notif;tmax;tmin;tmed;td;pres_est;pres_nm;prcp;hr;helio;nub;vmax_d;vmax_f;vmed;id_estacion;casos
2009;6;YBY YAU;30.325;21.225;24.45625;21.3875;947.775;1008.74375;1.51875;84.5;7.29375;5;??;??;??;86097;16
2009;6;YPACARAI;34.8;18.5;26.65;20.6;997.4;1013.15;0;71.5;11.05;1.5;??;??;??;86221;4
2009;6;YPANE;35.33333333;20.76666667;27.43333333;19.8;998.8333333;1008.2;12.8;66;11.6;2;??;??;??;86218;3
2009;7;ASUNCION;33.25;21.5;26.3875;22.05;999.8875;1009.3375;12.575;78.125;6.957142857;5.75;??;??;??;86218;8
2009;7;BELEN;34.8;23;28.6;24.4;999.8;1008.9;0;79;12;2;??;??;??;86134;1
2009;7;CAACUPE;34;20.4;27.8;21.6;997.7;1013.1;4;71;10.5;3;??;??;??;86221;1
2009;7;CAPIATA;33.73636364;21.59090909;26.98636364;22.42727273;999.7772727;1009.204545;14.90909091;77.31818182;9.615;4.5;??;??;??;86218;22
2009;7;CAPITAN BADO;31;20.2;24.6;20.4;948.2;1009.3;0.3;79;6.7;6;??;??;??;86097;2
2009;7;CONCEPCION;33.4;22.93333333;27.3;23.5;1000.9;1009.933333;0.733333333;81;8.766666667;5.333333333;??;??;??;86134;3
2009;7;CORONEL OVIEDO;33.07142857;19.87142857;25.58571429;22.07142857;??;??;3.7;82.5;9.057142857;5.142857143;??;??;??;86234;14
2009;7;EMBOSCADA;33.4;21.2;26.3;21.2;999.4;1008.9;1.7;74;5.4;7;??;??;??;86218;1
2009;7;FERNANDO DE LA MORA;33.75;22.6;27.125;22.875;999.6;1009.025;14.425;78.75;9.266666667;6.25;??;??;??;86218;4
2009;7;HERNANDARIAS;35;20.2;27.2;22.2;982.7;1010.6;4.7;77;12;2;??;??;??;86246;1
2009;7;HORQUETA;33.41052632;23.33684211;27.13684211;23.35789474;999.7842105;1008.863158;26.05263158;81.10526316;7.826315789;4.315789474;??;??;??;86134;19
2009;7;ITA;34;18.4;25.7;20.8;1000;1015.5;0;77;10.8;0;??;??;??;86221;1
2009;7;ITAUGUA;30.9;20.4;23.7;21.6;1001.7;1011.2;14;88;0.3;7;??;??;??;86218;1
2009;7;LAMBARE;32.9;22.06666667;25.83333333;22.63333333;1000.4;1009.833333;22.5;83.66666667;5.75;6.333333333;??;??;??;86218;3
2009;7;LIMPIO;32.35;21.9;26.05;22.8;1000.6;1010.05;8.25;83;5.75;6.5;??;??;??;86218;2
2009;7;LUQUE;33.53333333;21.93333333;27;22.13333333;999.4333333;1008.9;1.966666667;75.33333333;7.333333333;6.666666667;??;??;??;86218;3
2009;7;MARIANO ROQUE ALONSO;33.4;21.2;26.3;21.2;999.4;1008.9;1.7;74;5.4;7;??;??;??;86218;1
2009;7;MINGA GUAZU;35;20.2;27.2;22.2;982.7;1010.6;4.7;77;12;2;??;??;??;86246;2
2009;7;PEDRO JUAN CABALLERO;30.95714286;20.67142857;24.21428571;21.05;948.5857143;1009.75;4.792857143;83.57142857;6.014285714;5.642857143;??;??;??;86097;14
2009;7;PIRAYU;32.6;21.8;25.4;21.6;997.6;1013.1;37;81;4;5;??;??;??;86221;1
2009;7;SAN LORENZO;34.4;22.26666667;??;??;??;??;0;??;7.766666667;??;??;??;??;86185;3
2009;7;VILLETA;34;22.4;25.4;22.3;1000;1009.4;51;85;??;6;??;??;??;86218;1
2009;7;YPANE;34.53333333;22.2;28.4;23.4;998.8333333;1008.233333;19.5;75.33333333;12.06666667;3.333333333;??;??;??;86218;3
2009;8;ASUNCION;31.58666667;21.06;25.87333333;20.87333333;999.5533333;1008.96;0.92;76.4;8.386666667;4.066666667;??;??;??;86218;15
2009;8;CAACUPE;30.8;18.6;24;20.1;999.5;1015.3;0;81;11;4;??;??;??;86221;1
2009;8;CAPIATA;30.98;22.62;25.77;22.5;999.52;1008.91;13.78;83.8;6.15;5.5;??;??;??;86218;10
2009;8;CAPITAN BADO;31.2;20.6;24.8;21;948.9;1009.8;0;82;7.6;6;??;??;??;86097;1
