#,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Antequera,3616.621321,3661.308159,3703.822123,3744.604886,3783.80952,3821.738443,3858.222333,3893.830561,3928.40142,3962.190559,3995.366938,4027.819719,4059.408823,4090.283028,4120.552844,4149.723125,4178.253593,4205.746264,4232.362396,4258.256455,4282.913377,4306.845968,4329.730541,4351.845871,4373.161181,4393.699437
Chore,26525.204,26792.98863,27043.4443,27279.889,27503.52829,27716.63916,27918.06229,28111.98768,28297.30218,28475.89786,28649.03768,28815.97053,28975.73869,29129.45968,29277.95783,29417.7673,29552.19956,29678.48659,29797.82625,29911.35356,30015.50372,30113.9298,30204.41775,30288.9666,30367.40841,30439.94947
General Elizardo Aquino,23110.62539,23255.2191,23383.2836,23497.85479,23600.11073,23692.12885,23773.02985,23846.48657,23911.63552,23970.15652,24023.17742,24070.12721,24110.27177,24144.61045,24173.88407,24195.29613,24211.64489,24220.72506,24223.59153,24221.23116,24210.8264,24195.40237,24173.2431,24146.01806,24113.65126,24076.36568
Itacurubi del Rosario,11946.29447,11978.14075,12001.1374,12016.93254,12026.202,12030.06949,12028.14792,12022.35006,12012.2829,11998.83364,11982.59974,11963.32624,11940.68252,11915.19595,11887.26259,11855.53682,11821.42639,11783.88422,11743.45763,11700.65517,11654.14606,11605.42202,11553.68721,11499.77,11443.65853,11385.4821
Lima,11038.8781,11142.26841,11238.31483,11328.41069,11413.06742,11493.23934,11568.45408,11640.45528,11708.7872,11774.23789,11837.3331,11897.76561,11955.14364,12009.93274,12062.47548,12111.34832,12157.91904,12201.05243,12241.24668,12278.97177,12312.76916,12344.14245,12372.18823,12397.72971,12420.70187,12441.19381
Nueva Germania,4266.743009,4397.68975,4529.297983,4662.047375,4796.090454,4931.783648,5068.888942,5208.139619,5349.326488,5492.801229,5638.819661,5787.252144,5937.91347,6091.035791,6246.805394,6404.488516,6564.794019,6727.110166,6891.690825,7058.79444,7227.567963,7398.859979,7572.117931,7747.819959,7925.917452,8106.456432
San Estanislao,40555.27759,41401.44857,42233.98203,43057.44405,43873.22896,44684.52881,45489.08377,46293.34937,47095.2382,47897.6363,48702.48076,49508.33478,50313.34767,51119.22595,51927.24362,52731.0311,53536.23546,54337.6168,55137.04903,55936.37969,56728.65375,57520.41335,58307.15903,59092.42426,59875.62576,60656.90386
San Pablo,3948.753803,3950.106542,3948.531714,3944.589513,3938.517617,3930.697739,3921.015301,3910.105204,3897.848365,3884.540747,3870.382911,3855.29882,3839.188252,3822.228214,3804.550703,3785.731741,3766.227319,3745.709341,3724.358924,3702.342523,3679.244906,3655.543191,3630.9916,3605.855656,3580.135829,3553.876956
Tacuati,11708.12223,11955.95331,12200.04044,12441.70205,12681.34346,12919.8901,13156.69141,13393.61831,13630.07181,13866.89156,14104.64472,14342.92165,14581.19183,14819.95609,15059.58974,15298.25182,15537.58586,15776.07724,16014.27512,16252.72198,16489.40235,16726.22271,16961.88039,17197.40867,17432.64382,17667.632
Union,5657.398301,5750.397757,5840.630607,5928.754967,6014.984459,6099.774194,6182.829712,6265.041877,6346.135117,6426.504383,6506.413347,6585.672285,6664.038111,6741.744579,6818.959993,6894.855218,6970.175742,7044.244221,7117.31563,7189.634093,7260.31518,7330.207372,7398.745177,7466.386564,7533.064857,7598.807081
25 de Diciembre,9785.421938,9845.747838,9899.105573,9946.782235,9989.278023,10027.47346,10060.99737,10091.40495,10118.33133,10142.48775,10164.35176,10183.68197,10200.16792,10214.23264,10226.18945,10234.85549,10241.41437,10244.93314,10245.85799,10244.6061,10239.98554,10233.2755,10223.74989,10212.11436,10198.33637,10182.50983
Villa del Rosario,12710.80875,12659.92806,12599.76423,12532.22964,12458.17837,12378.90537,12294.12965,12205.91325,12113.93941,12019.18485,11922.31044,11823.11799,11721.34279,11617.56138,11512.21258,11404.04461,11294.47401,11182.54934,11068.84655,10953.89273,10836.48963,10718.08002,10597.96911,10476.96176,10355.08068,10232.47429
