,METRICA,SIL HAC 8,SIL KM 8,SIL DB 8,CHZ HAC 8,CHZ KM 8,CHZ DB 8,DAVIES HAC 8,DAVIES KM 8,DAVIES DB 8
0,Euclidean Distance,0.8319207549392479,0.8319207549392479,0.13173910318139814,4832.653364103001,4832.653364103003,9.652856308330737,0.35810448223179286,0.35810448223179286,1.3381556776155534
1,Pearson Correlation,0.6526463830821754,0.6279590715318004,0.3776484047793511,2311.981986100565,2508.3658167098474,485.21250628087097,0.4607619093013353,0.45972804676856693,0.484932541025244
2,Spearman Correlation,0.45519592887293925,0.47559310395100846,0.6497509020751286,154.4179885778777,159.84112512583968,42.635387843339544,0.851820676107282,0.7853048102674135,1.0154328333912
3,Dynamic Time Warping,0.8276300187725087,0.8276300187725087,-0.1343781705312182,4751.661926793881,4751.661926793881,5.176964795201058,0.3562309219762447,0.3562309219762446,1.452475550786027
