,Distrito,Cluster KM,Cluster HAC ,Cluster DB SP
172,TEBICUARYMI,3,1,-1
173,ITAPUA POTY,3,1,14
174,MACIEL,3,1,12
175,SAN PATRICIO,3,1,7
176,LAURELES,3,1,13
177,BUENA VISTA,3,1,-1
178,LIMA,3,1,9
179,HUMAITA,3,1,12
180,GENERAL DELGADO,3,1,3
181,YATYTAY,3,1,8
182,SAN SALVADOR,3,1,-1
183,ALTO VERA,3,1,12
184,AZOTEY,3,1,13
185,SAN RAFAEL DEL PARANA,3,1,14
186,CERRITO,3,1,11
187,GENERAL BRUGUEZ,0,6,11
188,YABEBYRY,3,1,13
189,ZANJA PYTA,3,1,5
190,VILLALBIN,3,1,13
191,BAHIA NEGRA,3,1,13
192,TEMBIAPORA,3,1,13
193,TAVAPY,3,1,15
194,LEANDRO OVIEDO,3,1,-1
195,ISLA UMBU,3,1,13
196,VILLA OLIVA,3,1,13
197,CARMELO PERALTA,3,1,14
198,DESMOCHADOS,3,1,13
199,R I 3 CORRALES,3,1,13
