,Distrito,Cluster KM,Cluster HAC ,Cluster DB SP
173,ITAPUA POTY,0,4,17
174,MACIEL,0,4,15
175,SAN PATRICIO,0,4,9
176,LAURELES,0,4,16
177,BUENA VISTA,0,4,-1
178,LIMA,0,4,12
179,HUMAITA,0,4,15
180,GENERAL DELGADO,0,4,5
181,YATYTAY,0,4,10
182,SAN SALVADOR,0,4,-1
183,ALTO VERA,0,4,15
184,AZOTEY,0,4,16
185,SAN RAFAEL DEL PARANA,0,4,17
186,CERRITO,0,4,14
187,GENERAL BRUGUEZ,0,0,14
188,YABEBYRY,0,4,16
189,ZANJA PYTA,0,4,7
190,VILLALBIN,0,4,16
191,BAHIA NEGRA,0,4,16
192,TEMBIAPORA,0,4,16
193,TAVAPY,0,4,18
194,LEANDRO OVIEDO,0,4,-1
195,ISLA UMBU,0,4,16
196,VILLA OLIVA,0,4,16
197,CARMELO PERALTA,0,4,17
198,DESMOCHADOS,0,4,16
199,R I 3 CORRALES,0,4,16
