,Dep-Prov-Distrito,Mean,Var,ACF1,Trend,Linearity,Curvature,Season,Peak,Trough,Entropy,Lumpiness,Spikiness,Lshift,Vchange,Fspots,Cpoints,KLScore,ChangeIdx,Semanas no Nulas,Semana del MAX
213,"LAMBAYEQUE, CHICLAYO, PIMENTEL",1.8977491332285101,67.42323275057831,0.7677953683472226,0.8058135389477675,0.053538784556193236,-32.37265116423614,0.3005181595624654,1e-07,4.0,0.756124522269979,14654.158186109884,0.05053549185429957,2.9735349999995027,632.6671478100916,26.0,9.0,1e-08,1e-08,25.0,53.0
214,"LAMBAYEQUE, CHICLAYO, POMALCA",0.3963751714588549,3.3847949415170118,0.3375121721557696,0.48417301583659655,0.010582840698855608,-1.3095421108840157,0.451523688047612,1e-07,1.0,0.9098007966227898,20.86052078855891,0.0006696981678333573,0.7773631840791035,55.39357266314017,21.0,5.0,1e-08,1e-08,13.0,54.0
215,"LAMBAYEQUE, CHICLAYO, PUCALA",13.04468174319252,1111.1232074206382,0.6205663558860316,0.6673317202650816,0.023028744807790102,-71.81160415303849,0.3725487916486564,1.0,3.0,0.8221687148790415,1871441.6385540252,19.600009890516258,10.633772862611155,11307.712529360535,26.0,11.0,1e-08,1e-08,76.0,212.0
216,"LAMBAYEQUE, CHICLAYO, REQUE",1.615830163828434,12.946391509708212,0.5212545593731102,0.47284666479905635,0.0020398588417738337,3.1534643825735245,0.41322544586649324,1e-07,2.0,0.7944126491213983,32.21326826102723,0.03134125268002716,0.6587615283262469,57.86223349369749,5.0,3.0,1e-08,1e-08,10.0,1e-07
217,"LAMBAYEQUE, CHICLAYO, SAÑA",4.951743531997617,610.0370405400802,0.6586308693309819,0.6472115647953914,0.01864711773927552,57.46761678147259,0.3357548284086861,1.0,5.0,0.8569918304912184,2236850.6003495576,23.73231790556844,13.97081651660925,20738.269627455797,26.0,7.0,1e-08,1e-08,25.0,229.0
218,"LAMBAYEQUE, CHICLAYO, TUMAN",18.956970577811784,3047.634437711307,0.8408019757305769,0.8451951224665638,0.03155685070841729,-164.31002342258722,0.31371454871481963,2.0,1e-07,0.6720919493326932,17522714.189887144,46.461552367609634,17.703599999999504,22813.350325331903,26.0,7.0,1e-08,1e-08,56.0,55.0
219,"LAMBAYEQUE, FERREÑAFE, FERREÑAFE",11.000854586053944,1124.80715281032,0.8265084045111032,0.853946273614375,0.011170138502798388,48.33732498252286,0.48812882444685457,2.0,1e-07,0.6817241891379976,2010695.59218352,17.346274012858718,12.470878443195332,9447.93396778101,15.0,5.0,1e-08,1e-08,30.0,98.0
220,"LAMBAYEQUE, FERREÑAFE, MANUEL ANTONIO MESONES MURO",0.43255214417078997,9.729270585741036,-0.00036284470246734533,0.48635911856350533,0.05555555555555554,0.7815475055411878,0.6700482623529179,4.0,1e-07,0.98854909101475,188.14345762494725,0.0263032116410584,1.1462631820260933,131.39192824685847,5.0,1.0,1e-08,1e-08,1.0,52.0
221,"LAMBAYEQUE, FERREÑAFE, PITIPO",0.18360843234377283,1.0675133671234367,0.2737727170503112,0.44530834607270053,0.007796933471274621,1.5544895360924467,0.33932998626919797,1.0,6.0,0.9090458443351099,4.289103598731244,0.00020175614231176072,0.6167509559634816,38.038174168186856,26.0,6.0,1e-08,1e-08,12.0,159.0
222,"LAMBAYEQUE, FERREÑAFE, PUEBLO NUEVO",2.592310116702245,25.837838162490094,0.5779457343264797,0.7256816680819689,0.18632232320993827,9.532065114942267,0.3036059904319587,6.0,5.0,0.7498169319650716,443.27808080757046,0.049192654633747696,1.0846771277744667,52.289976511966046,5.0,4.0,1e-08,1e-08,14.0,51.0
223,"LAMBAYEQUE, LAMBAYEQUE, CHOCHOPE",3.2870948655676355,561.859618069118,-0.0003628447024673472,0.48635911856350456,0.05555555555555552,-5.939216409707243,0.670048262352918,1e-07,1.0,0.9885490910147502,563569.8343130238,87.72105673372516,8.710801393727728,7587.806092096882,5.0,1e-07,1e-08,1e-08,1.0,1e-07
224,"LAMBAYEQUE, LAMBAYEQUE, ILLIMO",13.759827761032948,2091.973632239798,0.456621702064312,0.678153355032232,0.004831117733531335,46.71826848318195,0.4623827662755494,2.0,1e-07,0.8317462357915238,4996787.606286513,457.09056913372916,15.869765537011896,25184.945819973025,15.0,4.0,1e-08,1e-08,27.0,125.0
225,"LAMBAYEQUE, LAMBAYEQUE, JAYANCA",2.4628888746550044,80.03867111771004,0.9050810506745569,0.928219291809657,0.1747608167227029,-57.76785990562813,0.3945994067727536,5.0,3.0,0.617729487321965,2823.51096272554,0.012511090806980714,3.308189999999499,368.4520982833335,26.0,3.0,1e-08,1e-08,27.0,12.0
