,Distrito,Cluster KM,Cluster HAC ,Cluster DB SP
171,TEBICUARY,5,5,0
172,TEBICUARYMI,0,2,6
173,TEMBIAPORA,0,2,5
174,TOBATI,0,2,-1
175,TOMAS ROMERO PEREIRA,0,2,0
176,TRINIDAD,0,2,7
177,UNION,0,2,7
178,VALENZUELA,0,2,0
179,VAQUERIA,0,2,10
180,VILLA DEL ROSARIO,0,2,0
181,VILLA ELISA,1,0,-1
182,VILLA HAYES,2,1,-1
183,VILLA OLIVA,0,2,5
184,VILLALBIN,0,2,5
185,VILLARRICA,5,5,-1
186,VILLETA,3,3,-1
187,YABEBYRY,0,2,5
188,YAGUARON,5,5,-1
189,YATAITY,0,2,0
190,YATAITY DEL NORTE,0,2,0
191,YATYTAY,0,2,2
192,YBY YAU,5,5,-1
193,YEGROS,0,2,2
194,YGUAZU,0,2,3
195,YHU,0,2,0
196,YPACARAI,1,0,-1
197,YPANE,4,4,-1
198,YUTY,0,2,0
199,ZANJA PYTA,0,2,0
