Metrica,SIL HAC RB,SIL KM RB,SIL DB RB,CHZ HAC RB,CHZ KM RB,CHZ DB RB,DUNN HAC RB,DUNN KM RB,DUNN DB RB,DAVIES HAC RB,DAVIES KM RB,DAVIES DB RB
Euclidean,0.7555016941885081,0.7557470937069032,0.4363244592044793,2149.2529957382853,2309.263534551376,76.7500119068537,0.11975131490841735,0.08672637194806244,0.03158907587512208,0.5770749020222979,0.583980416750956,0.9179159240166097
Pearson,0.6190350105023912,0.6456727940230521,0.5759711275056483,619.1839505561219,680.4616441978287,211.11032606123806,0.9073348158248457,0.9073348158248457,0.9073348158248457,0.8417970647671499,0.8259558808091633,1.18497296190995
Spearman,0.6126581791919001,0.6425007187825584,0.5012463692160323,525.5057120536561,629.7328450128024,116.54561489053813,0.6536554202840612,0.6598149279470464,0.5004913103340635,1.07069044045481,0.9218236134012923,1.1216694940326069
DTW,0.6555852427676193,0.6819160897430984,0.27347640108948756,1026.8588895779778,1178.5735016005247,53.83544045872255,0.16831485155576842,0.16592498550933762,0.0009625094847589598,0.8281366236479585,0.8098672437092652,1.1073656398681977
